cUF;cNF;natOp;mod;serie;nNF;dhEmi;tpNF;idDest;cMunFG;tpImp;tpEmis;cDV;tpAmb;finNFe;indFinal;indPres;procEmi;verProc;Arquivo;CNPJ;xNome;xFant;xLgr;nro;xCpl;xBairro;cMun;xMun;UF;CEP;cPais;xPais;fone;IE;CRT;chNFe;cProd;cEAN;xProd;NCM;CEST;EXTIPI;CFOP;uCom;qCom;vUnCom;vProd;cEANTrib;uTrib;qTrib;vUnTrib;indTot;xPed;nItemPed;nFCI;nItem;cEnq;IPINT;det_icms_orig;det_icms_CST;det_icms_modBC;det_icms_vBC;det_icms_pICMS;det_icms_vICMS;det_icms_modBCST;det_icms_pMVAST;det_icms_vBCST;det_icms_pICMSST;det_icms_vICMSST;det_icms_identity;PISNT;COFINSNT;PISAliq_CST;PISAliq_vBC;PISAliq_pPIS;PISAliq_vPIS;COFINSAliq;COFINSAliq_CST;COFINSAliq_vBC;COFINSAliq_pCOFINS;COFINSAliq_vCOFINS
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;2103;7897186021034;FUNIL COMBUSTIVEL FLEX FILTRO;39269090;;;6106;PC;48.0000;6.60000000;316.80;7897186021034;PC;48.0000;6.60000000;1;;;;1;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;304.13;;23.11
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;476;7897186014760;JG 15 FUSIVEIS AUTOMOTIVOS;85361000;;;6106;PC;30.0000;5.00000000;150.00;7897186014760;PC;30.0000;5.00000000;1;;;;2;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;144.00;;10.95
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;KR004;7896980463057;JG 9PCS REPARO PNEU           Lote: EX2208A9   - Validade: 28/08/25;82079000;;;6106;JG;30.0000;19.25000000;577.50;7896980463057;JG;30.0000;19.25000000;1;;;;3;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;554.40;;42.13
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;SQ900T;7896980462142;SQUEEZE COLOR SORT 900ML;39249000;;;6106;PC;80.0000;8.17000000;653.60;7896980462142;PC;80.0000;8.17000000;1;;;;4;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;627.45;;47.69
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;CB-727;7897186081816;CABIDE COM 8 GANCHOS;73269090;;;6106;PC;240.0000;5.89000000;1413.60;7897186081816;PC;240.0000;5.89000000;1;;;;5;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;1357.06;;103.14
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;FQ100-02;7897186011394;GARFO MESA MOLINA 19,5CM;82159910;;;6106;PC;120.0000;1.12000000;134.40;7897186011394;PC;120.0000;1.12000000;1;;;;6;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;129.02;;9.80
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;FQ100-03;7897186011387;FACA CHURRASCO MOLINA 21,5CM;82119100;;;6106;PC;120.0000;1.32000000;158.40;7897186011387;PC;120.0000;1.32000000;1;;;;7;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;152.07;;11.56
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;FQ100-01;7897186010663;COLHER MESA MOLINA 19CM;82159910;;;6106;PC;120.0000;1.20000000;144.00;7897186010663;PC;120.0000;1.20000000;1;;;;8;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;138.24;;10.50
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;HX-2089;7897186079653;CABO MULTIMETRO;90309090;;;6106;PC;20.0000;3.56000000;71.20;7897186079653;PC;20.0000;3.56000000;1;;;;9;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;68.35;;5.20
35;51487026;VENDA DE MERCADORIA;55;1;921481;2024-02-05T09:31:00-03:00;1;2;3550308;1;1;9;1;1;0;1;0;12.1.033 | 3.0;nfe\NF 921481 - Etilux.xml;50306471000109;ETILUX IMP E DIST DE ART DE CUTELARIA S.A;ETILUX;ALAMEDA DOS JURUPIS;1005;CONJUNTO 34;INDIANOPOLIS;3550308;SAO PAULO;SP;04088907;1058;BRASIL;1129551800;110638009114;3;35240250306471000109550010009214811514870269;CT-30;7897186072906;CANTONEIRA MAO FRANCESA 30CM;73269090;;;6106;PC;120.0000;5.89000000;706.80;7897186072906;PC;120.0000;5.89000000;1;;;;10;999;53;;;;;;;;;;;;;;;01;;1.6500;;;;678.53;;51.57
